model_id,name,size,color,k,passk
qwen3-0.6b,Qwen3 0.6B,0.6B,#34D399,1,0.94
qwen3-0.6b,Qwen3 0.6B,0.6B,#34D399,2,0.9067
qwen3-0.6b,Qwen3 0.6B,0.6B,#34D399,3,0.8933
qwen3-0.6b,Qwen3 0.6B,0.6B,#34D399,4,0.8867
qwen3-0.6b,Qwen3 0.6B,0.6B,#34D399,5,0.8667
qwen3-0.6b,Qwen3 0.6B,0.6B,#34D399,6,0.8667
qwen3-0.6b,Qwen3 0.6B,0.6B,#34D399,7,0.86
qwen3-0.6b,Qwen3 0.6B,0.6B,#34D399,8,0.86
qwen2.5-0.5b,Qwen2.5 0.5B,0.5B,#F472B6,1,0.8133
qwen2.5-0.5b,Qwen2.5 0.5B,0.5B,#F472B6,2,0.7333
qwen2.5-0.5b,Qwen2.5 0.5B,0.5B,#F472B6,3,0.7133
qwen2.5-0.5b,Qwen2.5 0.5B,0.5B,#F472B6,4,0.7133
qwen2.5-0.5b,Qwen2.5 0.5B,0.5B,#F472B6,5,0.7067
qwen2.5-0.5b,Qwen2.5 0.5B,0.5B,#F472B6,6,0.7067
qwen2.5-0.5b,Qwen2.5 0.5B,0.5B,#F472B6,7,0.7067
qwen2.5-0.5b,Qwen2.5 0.5B,0.5B,#F472B6,8,0.6933
